"tempi" "frauds"
4 1
3 3
1 1
57 6
48 6
80 10
3 3
45 5
19 3
11 3
49 7
27 3
32 6
77 8
16 3
2 2
47 6
30 4
35 5
10 2
82 11
35 4
26 5
11 2
85 10
1 3
28 3
34 5
30 4
45 6
31 4
2 3
20 2
10 3
6 1
10 1
31 6
44 7
23 3
54 6
21 5
9 2
7 1
54 7
19 2
8 3
11 3
12 2
25 5
10 3
12 2
2 1
10 2
12 4
44 6
13 2
36 4
82 9
47 7
6 3
7 2
82 10
102 11
39 6
94 12
8 2
81 9
29 3
3 1
42 6
2 1
1 3
25 5
92 11
45 5
206 23
72 9
7 3
13 3
2 1
6 3
4 2
50 6
11 2
124 14
44 6
30 4
14 3
5 2
16 2
6 1
12 4
1 1
30 5
42 7
1 3
5 1
49 6
16 3
18 4
40 6
62 8
10 1
41 5
57 8
15 2
6 1
1 1
14 4
60 6
10 2
6 1
26 5
53 6
33 6
37 4
7 3
28 4
4 3
16 3
13 4
10 2
65 7
55 8
1 1
13 4
53 7
42 6
81 11
1 1
8 3
8 2
56 7
1 3
16 3
13 2
49 6
23 3
5 2
15 2
12 2
33 5
23 5
10 2
57 8
10 1
51 7
65 7
27 3
30 3
4 2
27 5
21 4
2 2
17 2
20 4
9 2
15 3
34 5
22 5
2 3
12 2
70 8
15 4
18 2
121 13
57 8
10 1
7 2
56 7
14 4
109 13
24 5
53 8
1 1
11 3
41 5
5 2
14 3
1 3
13 2
15 2
19 2
67 9
28 4
19 2
1 1
79 10
46 5
70 7
2 1
62 9
21 4
8 1
1 3
24 5
6 1
11 2
6 1
44 5
69 7
1 2
18 3
29 3
16 3
22 5
29 5
69 7
13 3
24 5
71 8
100 12
7 2
8 2
33 4
19 2
36 6
103 12
55 7
5 2
12 3
18 3
46 6
48 5
10 3
67 9
4 3
40 6
52 6
14 3
9 1
11 3
5 1
9 3
28 3
56 7
43 7
56 8
65 9
41 6
7 2
12 3
8 2
9 1
33 6
25 5
2 3
10 3
16 2
3 3
6 1
23 4
29 5
15 3
8 2
59 7
5 2
7 1
9 3
37 6
29 3
41 7
17 4
9 3
9 1
8 2
11 3
3 2
33 4
30 4
23 3
83 10
61 7
25 3
29 4
32 6
39 5
39 4
20 2
7 2
7 3
15 2
4 3
27 5
59 8
11 3
53 8
37 6
11 4
15 2
15 4
37 6
4 1
2 3
43 7
30 3
5 2
112 13
25 3
66 7
8 2
79 8
46 7
69 7
35 6
48 5
16 2
16 4
2 1
160 16
129 15
4 1
10 2
9 2
9 3
30 4
6 3
29 5
15 3
16 4
14 3
82 10
118 12
4 2
45 6
28 5
6 1
12 3
15 4
23 4
21 4
28 3
5 1
52 7
29 5
17 4
8 2
15 2
90 9
2 1
4 2
83 11
17 3
27 4
12 3
23 4
9 2
17 2
2 3
31 6
43 5
37 6
20 2
2 2
3 2
28 4
61 7
3 2
54 6
44 7
18 4
7 2
69 7
8 3
2 2
32 5
35 4
31 6
28 5
19 2
25 4
6 2
55 7
66 8
48 5
28 5
10 1
28 4
56 6
16 3
61 8
39 6
8 2
25 5
14 2
18 4
11 4
35 4
68 8
61 9
15 3
11 4
31 5
17 4
9 1
27 3
71 10
12 3
11 2
1 3
44 7
18 4
84 10
41 5
1 3
86 10
65 7
2 3
64 7
5 2
31 5
2 1
31 5
28 4
11 2
4 2
2 3
26 4
22 5
6 2
46 6
1 1
20 2
16 4
40 4
46 6
36 6
19 2
4 3
61 8
22 3
45 6
52 6
29 4
13 2
9 2
52 8
10 3
61 8
171 19
12 3
56 8
10 1
82 10
2 1
44 7
12 4
38 4
84 10
56 7
72 10
81 11
40 6
15 4
30 3
20 2
